obs # ,,video,camera,year,month,day,start time,time,focal bat,bat infected,behavior (letter),comment,
1 to x,scorer,file path on hard drive,"channel number (e.g. ""2"" for CH02)",year of video,month of video,day of video,AKA focal hour,00:30-60:00 (s),Bat ID (see bat key),T/F,see behavior key in project plan key,e.g don't know if self or social grooming,
6,Michael A,CH02_2019-07-15_18_59_59__19_03_43.mp4,2,2019,07,15,19,0300,blx,T,r,,
7,Michael A,CH02_2019-07-15_18_59_59__19_03_43.mp4,2,2019,07,15,19,0330,blx,T,g,,
8,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0400,blx,T,g,,
9,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0430,blx,T,g,,
10,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0500,blx,T,g,,
11,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0530,blx,T,g,,
12,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0600,blx,T,r,,
13,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0630,blx,T,r,,
14,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0700,blx,T,r,,
15,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0730,blx,T,sg,,
16,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0800,blx,T,r,,
17,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0830,blx,T,g,,
18,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0900,blx,T,g,,
19,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,0930,blx,T,g,,
20,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,1000,blx,T,m,,
21,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,1030,blx,T,g,,
22,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,1100,blx,T,g,,
23,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,1130,blx,T,r,,
24,Michael A,CH02_2019-07-15_19_03_43__19_12_06.mp4,2,2019,07,15,19,1200,blx,T,r,,
25,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1230,blx,T,r,,
26,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1300,blx,T,r,,
27,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1330,blx,T,g,,
28,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1400,blx,T,g,,
29,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1430,blx,T,g,,
30,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1500,blx,T,g,,
31,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1530,blx,T,r,,
32,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1600,blx,T,m,,
33,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1630,blx,T,m,,
34,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1700,blx,T,r,,
35,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1730,blx,T,m,,
36,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1800,blx,T,m,,
37,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1830,blx,T,m,,
38,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1900,blx,T,r,,
39,Michael A,CH02_2019-07-15_19_12_06__19_20_28.mp4,2,2019,07,15,19,1930,blx,T,r,,
40,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2000,blx,T,r,,
